paper_id,dblp_key,congress,level,area,year,window,country_code,source,method,confidence,matched_by,source_work_id,doi,matched_title,n_authors_with_profiles
P0496234,conf/aistats/CanonneGWY25,AISTATS,A,IA / ML,2025,2021-2025,AU,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Gaussian Mean Testing under Truncation,4
P0496234,conf/aistats/CanonneGWY25,AISTATS,A,IA / ML,2025,2021-2025,JP,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Gaussian Mean Testing under Truncation,4
P0496234,conf/aistats/CanonneGWY25,AISTATS,A,IA / ML,2025,2021-2025,SG,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Gaussian Mean Testing under Truncation,4
P0496337,conf/aistats/GhrissM25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Deep Clustering via Probabilistic Ratio-Cut Optimization,2
P0496404,conf/aistats/KeTK25,AISTATS,A,IA / ML,2025,2021-2025,JP,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Learning Stochastic Nonlinear Dynamics with Embedded Latent Transfer Operators,1
P0496548,conf/aistats/PengU25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Nonparametric Distributional Regression via Quantile Regression,2
P0496338,conf/aistats/GiannouYWPL25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,How Well Can Transformers Emulate In-Context Newton's Method?,5
P0496318,conf/aistats/FuTSP25,AISTATS,A,IA / ML,2025,2021-2025,AU,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Structure based SAT dataset for analysing GNN generalisation,4
P0496287,conf/aistats/DengWX25,AISTATS,A,IA / ML,2025,2021-2025,CN,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Leveraging Frozen Batch Normalization for Co-Training in Source-Free Domain Adaptation,3
P0496619,conf/aistats/SoleymaniTJJ25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,A Robust Kernel Statistical Test of Invariance: Detecting Subtle Asymmetries,4
P0496203,conf/aistats/BaptistaPBMN25,AISTATS,A,IA / ML,2025,2021-2025,CA,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Conditional simulation via entropic optimal transport: Toward non-parametric estimation of conditional Brenier maps,5
P0496203,conf/aistats/BaptistaPBMN25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Conditional simulation via entropic optimal transport: Toward non-parametric estimation of conditional Brenier maps,5
P0496283,conf/aistats/DechterRTI25,AISTATS,A,IA / ML,2025,2021-2025,AE,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Graph-based Complexity for Causal Effect  by Empirical Plug-in,4
P0496632,conf/aistats/TahmasebiJ25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Regularity in Canonicalized Models: A Theoretical Perspective,2
P0496703,conf/aistats/YangGY25,AISTATS,A,IA / ML,2025,2021-2025,CN,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Bilevel Reinforcement Learning via the Development of Hyper-gradient without Lower-Level Convexity,3
P0496427,conf/aistats/KuangCL25,AISTATS,A,IA / ML,2025,2021-2025,NZ,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,A Shapley-value Guided Rationale Editor for Rationale Learning,3
P0496427,conf/aistats/KuangCL25,AISTATS,A,IA / ML,2025,2021-2025,TW,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,A Shapley-value Guided Rationale Editor for Rationale Learning,3
P0496427,conf/aistats/KuangCL25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,A Shapley-value Guided Rationale Editor for Rationale Learning,3
P0496674,conf/aistats/WangZLKJY25,AISTATS,A,IA / ML,2025,2021-2025,CA,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Advancing Fairness in Precision Medicine: A Universal Framework for Optimal Treatment Estimation in Censored Data,6
P0496674,conf/aistats/WangZLKJY25,AISTATS,A,IA / ML,2025,2021-2025,CN,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Advancing Fairness in Precision Medicine: A Universal Framework for Optimal Treatment Estimation in Censored Data,6
P0496644,conf/aistats/TieuFWH25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Invariant Link Selector for Spatial-Temporal Out-of-Distribution Problem,4
P0496413,conf/aistats/KimKKKA25,AISTATS,A,IA / ML,2025,2021-2025,KR,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,A Computation-Efficient Method of Measuring Dataset Quality based on the Coverage of the Dataset,3
P0496413,conf/aistats/KimKKKA25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,A Computation-Efficient Method of Measuring Dataset Quality based on the Coverage of the Dataset,3
