window,scenario,country_code,count,eu_den,share,rank
2021-2025,observed,BE,1236,47038,0.026276627407627876,10
2021-2025,observed,RO,141,47038,0.0029975764275691993,19
2021-2025,observed,NL,3865,47038,0.08216760916705643,5
2021-2025,observed,DE,12955,47038,0.275415621412475,2
2021-2025,observed,GR,648,47038,0.013776095922445683,14
2021-2025,observed,ES,1990,47038,0.042306220502572385,8
2021-2025,observed,CY,97,47038,0.0020621625069093073,23
2021-2025,observed,HU,169,47038,0.003592839831625494,18
2021-2025,observed,GB,14709,47038,0.31270462179514436,1
2021-2025,observed,BG,95,47038,0.0020196436923338576,24
2021-2025,observed,PT,615,47038,0.013074535481950764,15
2021-2025,observed,SK,110,47038,0.00233853480164973,22
2021-2025,observed,FI,1107,47038,0.023534163867511372,12
2021-2025,observed,IE,542,47038,0.011522598749946851,16
2021-2025,observed,SI,123,47038,0.0026149070963901525,21
2021-2025,observed,LU,324,47038,0.006888047961222841,17
2021-2025,observed,LV,11,47038,0.000233853480164973,26
2021-2025,observed,EE,126,47038,0.002678685318253327,20
2021-2025,observed,HR,51,47038,0.0010842297716739658,25
2021-2025,observed,FR,6337,47038,0.13472086398231217,3
2021-2025,observed,DK,1710,47038,0.03635358646200944,9
2021-2025,observed,IT,4069,47038,0.08650452825375228,4
2021-2025,observed,CZ,780,47038,0.01658233768442536,13
2021-2025,observed,LT,10,47038,0.00021259407287724819,28
2021-2025,observed,SE,2187,47038,0.04649432373825418,7
2021-2025,observed,PL,1160,47038,0.02466091245376079,11
2021-2025,optimistic_ES,AT,2217,74010,0.02995541143088772,7
2021-2025,optimistic_ES,MT,11,74010,0.00014862856370760708,26
2021-2025,optimistic_ES,BE,1236,74010,0.016700445885691122,10
2021-2025,optimistic_ES,RO,141,74010,0.0019051479529793272,19
2021-2025,optimistic_ES,NL,3865,74010,0.05222267261180921,6
2021-2025,optimistic_ES,DE,12955,74010,0.1750439129847318,3
2021-2025,optimistic_ES,GR,648,74010,0.008755573571139035,14
2021-2025,optimistic_ES,ES,28962,74010,0.39132549655451965,1
2021-2025,optimistic_ES,CY,97,74010,0.0013106336981488988,23
2021-2025,optimistic_ES,HU,169,74010,0.002283475206053236,18
2021-2025,optimistic_ES,GB,14709,74010,0.19874341305229024,2
2021-2025,optimistic_ES,BG,95,74010,0.0012836103229293338,24
2021-2025,optimistic_ES,PT,615,74010,0.008309687880016214,15
2021-2025,optimistic_ES,SK,110,74010,0.0014862856370760709,22
2021-2025,optimistic_ES,FI,1107,74010,0.014957438184029186,12
2021-2025,optimistic_ES,IE,542,74010,0.007323334684502095,16
2021-2025,optimistic_ES,SI,123,74010,0.0016619375760032428,21
2021-2025,optimistic_ES,LU,324,74010,0.004377786785569517,17
2021-2025,optimistic_ES,LV,11,74010,0.00014862856370760708,26
2021-2025,optimistic_ES,EE,126,74010,0.0017024726388325901,20
2021-2025,optimistic_ES,HR,51,74010,0.0006890960680989056,25
2021-2025,optimistic_ES,FR,6337,74010,0.08562356438319146,4
2021-2025,optimistic_ES,DK,1710,74010,0.02310498581272801,9
2021-2025,optimistic_ES,IT,4069,74010,0.05497905688420484,5
2021-2025,optimistic_ES,CZ,780,74010,0.01053911633563032,13
