scenario,window,country_code,count,eu_den,share,rank
historical_Astar_only,2011-2015,SK,14,9745,0.0014366341713699332,23
historical_Astar_only,2011-2015,DK,300,9745,0.03078501795792714,9
historical_Astar_only,2011-2015,FI,223,9745,0.02288353001539251,12
historical_Astar_only,2011-2015,IE,155,9745,0.01590559261159569,14
historical_Astar_only,2011-2015,DE,2497,9745,0.25623396613648025,2
historical_Astar_only,2011-2015,BG,7,9745,0.0007183170856849666,25
historical_Astar_only,2011-2015,ES,620,9745,0.06362237044638276,5
historical_Astar_only,2011-2015,HR,14,9745,0.0014366341713699332,23
historical_Astar_only,2011-2015,GR,288,9745,0.029553617239610055,11
historical_Astar_only,2011-2015,NL,563,9745,0.0577732170343766,6
historical_Astar_only,2011-2015,PT,166,9745,0.01703437660338635,13
historical_Astar_only,2011-2015,CY,17,9745,0.0017444843509492047,21
historical_Astar_only,2011-2015,PL,121,9745,0.012416623909697281,15
historical_Astar_only,2011-2015,AT,386,9745,0.03961005643919959,7
historical_Astar_only,2011-2015,BE,300,9745,0.03078501795792714,9
historical_Astar_only,2011-2015,LU,32,9745,0.0032837352488455616,18
historical_Astar_only,2011-2015,FR,1609,9745,0.16511031298101592,3
historical_Astar_only,2011-2015,HU,52,9745,0.005336069779374038,17
historical_Astar_only,2011-2015,CZ,119,9745,0.012211390456644433,16
historical_Astar_only,2011-2015,SI,24,9745,0.0024628014366341712,20
historical_Astar_only,2011-2015,MT,2,9745,0.0002052334530528476,28
historical_Astar_only,2011-2015,EE,16,9745,0.0016418676244227808,22
historical_Astar_only,2011-2015,SE,364,9745,0.03735248845561827,8
historical_Astar_only,2011-2015,LT,3,9745,0.0003078501795792714,27
historical_Astar_only,2011-2015,IT,984,9745,0.10097485890200103,4
historical_Astar_only,2016-2020,LV,7,13725,0.0005100182149362477,25
historical_Astar_only,2016-2020,GB,4644,13725,0.3383606557377049,1
historical_Astar_only,2016-2020,RO,53,13725,0.003861566484517304,18
historical_Astar_only,2016-2020,SK,31,13725,0.0022586520947176685,21
historical_Astar_only,2016-2020,DK,494,13725,0.03599271402550091,9
historical_Astar_only,2016-2020,FI,366,13725,0.02666666666666667,10
historical_Astar_only,2016-2020,IE,192,13725,0.013989071038251366,15
historical_Astar_only,2016-2020,DE,3413,13725,0.2486703096539162,2
historical_Astar_only,2016-2020,BG,16,13725,0.0011657559198542805,24
historical_Astar_only,2016-2020,ES,539,13725,0.039271402550091074,7
historical_Astar_only,2016-2020,HR,7,13725,0.0005100182149362477,25
