venue,core_year,level_2008,level_2013,level_2010_inferred,policy_2010,reason
499,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
511,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
514,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
515,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
517,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
52,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
525,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
526,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
528,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
531,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
533,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
540,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
546,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
55,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
556,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
557,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
56,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
561,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
572,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
575,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
577,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
58,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
582,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
588,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
589,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
597,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
599,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
60,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
600,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
604,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
605,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
607,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
609,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
617,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
623,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
